iter	RMSE
0	0.2571566691
1	0.2420266543
2	0.2310948545
3	0.2189991821
4	0.2089252421
5	0.2010770855
6	0.19324781
7	0.1880984726
8	0.1822779581
9	0.1772158719
10	0.1732545134
11	0.1694017166
12	0.1653171645
13	0.1619776723
14	0.1595961651
15	0.1572447114
16	0.1545697398
17	0.152524674
18	0.1495633722
19	0.1471357509
20	0.1459186671
21	0.1441673392
22	0.14238411
23	0.1406472685
24	0.1394608626
25	0.1377045214
26	0.1363600181
27	0.1347635181
28	0.1337651495
29	0.1327965822
30	0.131364538
31	0.1305992804
32	0.1294391212
33	0.1280522337
34	0.1261576507
35	0.1247289034
36	0.1236361565
37	0.1223073912
38	0.1212751781
39	0.1198832232
40	0.118874829
41	0.1178938003
42	0.1168283298
43	0.1152842432
44	0.1146811124
45	0.1133511161
46	0.1117921046
47	0.1106004309
48	0.1090291785
49	0.1085930225
50	0.1068877437
51	0.1055880845
52	0.1049648134
53	0.1032428719
54	0.1017082452
55	0.1013089531
56	0.1006445971
57	0.09999887181
58	0.0997943469
59	0.09836759829
60	0.09702031987
61	0.09578513645
62	0.09570138056
63	0.09494407136
64	0.09446132489
65	0.0934223497
66	0.09227114424
67	0.0909933969
68	0.09040994858
69	0.08968008705
70	0.0885211809
71	0.08844107971
72	0.08763195514
73	0.0875028398
74	0.08646644226
75	0.08603477751
76	0.0850961565
77	0.0850204088
78	0.08434718897
79	0.08330241868
80	0.08252175792
81	0.08161114459
82	0.0809778224
83	0.08015965806
84	0.07990963952
85	0.07883727847
86	0.07828391382
87	0.07749157394
88	0.07695104706
89	0.07647114831
90	0.07596754115
91	0.07532428626
92	0.07472253365
93	0.07414578225
94	0.07308180516
95	0.07290340608
96	0.07209830255
97	0.07154551473
98	0.07054252953
99	0.06969910446
100	0.06949639291
101	0.06874083381
102	0.06815661255
103	0.0674336608
104	0.06706205148
105	0.06633305356
106	0.06558981944
107	0.06488620375
108	0.06459616559
109	0.06391525897
110	0.06337398545
111	0.06332686386
112	0.06327106245
113	0.06270597166
114	0.06226799768
115	0.06177474083
116	0.06130190281
117	0.06071830098
118	0.06006846113
119	0.06001401361
120	0.05976196606
121	0.05919526951
122	0.05903179638
123	0.05870699234
124	0.05796250915
125	0.05741002959
126	0.05690526587
127	0.05601852206
128	0.05596926876
129	0.05591770153
